PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSI;P7250;P7280;P7280S1;P744;P3074;P7260;P1806;P7430;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4
20260626;06;2026;8623917;1;2;1;70;;2;1397.6302459;47;1;;;;;1;;48;800000;1;12;0;3;3;1;2;2;;2;;.;9111;97;9700
20260626;06;2026;8623918;1;1;1;70;;2;1658.2867354;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623918;1;3;1;70;;2;1658.2867354;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623918;1;4;1;70;;2;1658.2867354;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623919;1;1;1;70;;2;1307.6542945;47;1;;;;;;;;;1;360;0;4;3;1;2;2;;2;;.;9111;97;9700
20260626;06;2026;8623920;1;2;1;70;;2;2049.9280666;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623924;1;2;1;70;;1;792.01529125;47;1;;;;;;;;;1;312;0;3;1;8;2;2;;2;;.;8183;01;0122
20260626;06;2026;8623925;1;1;1;70;;2;1777.1225409;47;1;;;;;;;;;1;60;0;9;7;8;2;2;;2;;.;9211;01;0122
20260626;06;2026;8623927;1;1;1;70;;2;1777.1225409;47;1;;;;;;;;;1;84;0;4;1;7;2;2;;2;;.;8160;10;1051
20260626;06;2026;8623929;1;1;1;70;;2;2540.1646235;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623929;1;2;1;70;;2;2540.1646235;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623929;1;6;1;70;;2;2540.1646235;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623929;1;8;1;70;;2;2540.1646235;47;1;;;;;;;;;1;36;0;3;3;1;2;2;;2;;.;9111;97;9700
20260626;06;2026;8623931;1;2;1;70;;2;2453.1260746;47;1;;;;;;;;;1;24;0;4;1;10;2;2;;2;;.;4120;42;4290
20260626;06;2026;8623933;1;2;1;70;;2;2169.9634533;47;;1;36;1;;;;44;1750095;1;2;0;6;1;2;2;2;;2;;5329;5329;47;4773
20260626;06;2026;8623935;1;1;1;70;;2;1287.0633655;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623935;1;2;1;70;;2;1287.0633655;47;1;;;;;;;;;1;300;0;5;7;6;2;3;;2;;.;9211;01;0122
20260626;06;2026;8623936;1;3;1;70;;2;766.58422578;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623938;1;2;1;70;;1;523.27207983;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623939;1;1;1;70;;2;2003.6623552;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623943;1;2;1;70;;1;904.46528933;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623944;1;2;1;70;;1;905.93702464;47;1;;;;;1;;24;500000;1;18;2;1;4;1;2;2;;2;;.;9412;85;8530
20260626;06;2026;8623944;1;4;1;70;;1;905.93702464;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623946;1;5;1;70;;1;1323.9943113;47;1;;;;;2;5;;1000000;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623946;1;7;1;70;;1;1323.9943113;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623947;1;1;1;70;;1;619.69280736;47;1;;;;;;;;;1;396;2;5;1;10;2;3;;2;;.;6112;01;0122
20260626;06;2026;8623947;1;2;1;70;;1;619.69280736;47;1;;;;;;;;;1;216;2;3;1;7;2;2;;2;;.;7531;14;1410
20260626;06;2026;8623949;1;1;1;70;;1;994.45409602;47;1;;;;;1;;24;1000000;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623950;2;1;2;70;;1;1270.2580394;47;;1;12;1;;;;48;1000000;1;24;2;3;1;8;2;2;;2;;3142;7544;01;0126
20260626;06;2026;8623952;1;2;1;70;;2;2041.9244824;47;1;;;;;1;;48;1750095;1;2;0;9;4;1;2;2;;2;;.;5141;96;9602
20260626;06;2026;8623954;1;3;1;70;;2;2032.1905205;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623958;1;1;1;70;;1;525.3199465;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623958;1;2;1;70;;1;525.3199465;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623959;1;2;1;70;;1;940.9191883;47;;1;8;1;;;;48;1750905;1;67;2;8;1;7;2;2;;2;;4311;4110;88;8899
20260626;06;2026;8623960;1;1;1;70;;1;571.33661318;47;1;;;;;1;;35;600000;1;2;0;3;3;1;2;2;;2;;.;9111;97;9700
20260626;06;2026;8623960;1;2;1;70;;1;571.33661318;47;1;;;;;;;;;1;12;0;1;1;9;2;2;;2;;.;9211;01;0122
20260626;06;2026;8623961;1;2;1;70;;1;627.9264958;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623962;1;2;1;70;;1;1026.3110246;47;;1;4;1;;;;48;1500000;1;48;0;1;4;1;2;2;;2;;2342;5311;88;8891
20260626;06;2026;8623962;1;3;1;70;;1;1026.3110246;47;1;;;;;1;;48;2000000;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623964;1;3;1;70;;2;1322.3813843;47;1;;;;;1;;48;1750095;1;2;0;3;3;1;2;2;;2;;.;9111;97;9700
20260626;06;2026;8623965;1;1;1;70;;2;1483.5638142;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623965;1;3;1;70;;2;1483.5638142;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623966;1;2;1;70;;1;749.38930798;47;1;;;;;;;;;1;300;0;4;4;1;2;2;;2;;.;7531;14;1410
20260626;06;2026;8623966;1;3;1;70;;1;749.38930798;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623968;1;1;1;70;;2;1298.7100034;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623971;1;2;1;70;;2;1965.6005642;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623971;1;3;1;70;;2;1965.6005642;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623971;1;4;1;70;;2;1965.6005642;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623972;1;2;1;70;;1;1214.0345053;47;1;;;;;1;;48;2000000;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623973;1;1;1;70;;2;1205.2059167;47;1;;;;;;;;;1;12;0;4;1;3;2;2;;2;;.;5223;47;4729
20260626;06;2026;8623974;1;1;1;70;;2;857.57059944;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623976;1;2;1;70;;2;1285.9042686;47;1;;;;;2;5;;1750095;1;108;0;4;1;8;2;2;;2;;.;1311;01;0122
20260626;06;2026;8623977;1;2;1;70;;2;1298.7100034;47;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.
20260626;06;2026;8623978;1;1;1;70;;2;1118.1041967;47;;1;8;1;;;;48;1750095;1;3;0;9;7;8;2;2;;2;;9211;9211;01;0122
20260626;06;2026;8623979;1;1;1;70;;2;1031.7735388;47;1;;;;;;;;;1;7;0;3;7;5;2;2;;2;;.;6112;01;0122
20260626;06;2026;8623982;1;2;1;70;;1;668.20733119;47;;1;12;1;;;;44;1750905;1;24;0;3;1;10;2;2;;2;;4211;2359;85;8530
