PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FT;FFT;PET;P6240;P6240S1;P6240S2;P6250;P6260;P6260S1;P6260S1A1;P6260S2;P6270;P6280;P3362S1;P3362S2;P3362S3;P3362S4;P3362S5;P3362S6;P3362S7;P3362S8;P3362S7A1;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351
20260626;06;2026;8623881;1;3;1;50;;2;1472.4443909;13;;1;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623882;1;1;1;50;;2;1992.0084154;13;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623882;1;2;1;50;;2;1992.0084154;13;;1;1;6;HACIENDO DILIGENCIAS DE ESTUDIO;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623883;1;1;1;50;;2;1848.0722726;13;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623883;1;2;1;50;;2;1848.0722726;13;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623884;1;1;1;50;;2;1506.0063488;13;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623885;1;1;1;50;;2;1217.2179825;13;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623887;1;1;1;50;;2;1446.37312;44;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623887;1;2;1;50;;2;1446.37312;44;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623888;1;1;1;50;;2;1696.7426556;44;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623888;1;2;1;50;;2;1696.7426556;44;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623889;1;1;1;50;;2;711.7024773;44;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623889;1;2;1;50;;2;711.7024773;44;;1;1;6;EN CASA;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623889;1;3;1;50;;2;711.7024773;44;1;;1;4;;;1;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623890;1;1;1;50;;2;2130.2267305;44;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623890;1;2;1;50;;2;2130.2267305;44;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623890;1;3;1;50;;2;2130.2267305;44;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623890;1;4;1;50;;2;2130.2267305;44;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623890;1;5;1;50;;2;2130.2267305;44;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623891;1;1;1;50;;2;1120.2723452;44;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623891;1;2;1;50;;2;1120.2723452;44;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623894;1;1;1;50;;2;719.41639894;44;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623894;1;2;1;50;;2;719.41639894;44;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623895;1;1;1;50;;2;1689.0287339;44;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623895;1;2;1;50;;2;1689.0287339;44;;1;1;6;EN CASA;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623895;1;3;1;50;;2;1689.0287339;44;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623896;1;1;1;50;;2;1368.726785;44;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623897;1;1;1;50;;2;1181.9475181;44;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623898;1;1;1;50;;2;1286.4940529;44;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623898;1;2;1;50;;2;1286.4940529;44;1;;1;4;;;1;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623899;1;1;1;50;;2;1754.6044994;44;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623900;1;1;1;50;;2;1524.1783072;44;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623900;1;2;1;50;;2;1524.1783072;44;1;;1;4;;;2;2;;;;1;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623902;1;1;1;50;;2;1175.6048775;44;1;;1;4;;;1;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623903;1;1;1;50;;2;706.73111767;44;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623903;1;2;1;50;;2;706.73111767;44;1;;1;3;;;2;2;;;;1;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623904;1;1;1;50;;2;1529.1496668;44;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623904;1;2;1;50;;2;1529.1496668;44;;1;1;6;EN CASA;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623904;1;3;1;50;;2;1529.1496668;44;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623905;1;1;1;50;;2;1193.8694861;44;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623906;1;1;1;50;;2;860.70281744;47;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623906;1;2;1;50;;2;860.70281744;47;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623906;1;3;1;50;;2;860.70281744;47;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;1;2;;2;;2;;
20260626;06;2026;8623907;1;1;1;50;;2;898.08622107;47;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623907;1;2;1;50;;2;898.08622107;47;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623907;1;3;1;50;;2;898.08622107;47;1;;1;2;;;2;2;;;;2;1;1;1;;;;;;;;;;;;;;;1
20260626;06;2026;8623908;1;1;1;50;;2;855.11802743;47;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623908;1;2;1;50;;2;855.11802743;47;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623908;1;3;1;50;;2;855.11802743;47;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623909;1;1;1;50;;2;1347.6466028;47;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623909;1;2;1;50;;2;1347.6466028;47;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623910;1;1;1;50;;2;1398.5948224;47;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623911;1;1;1;50;;2;622.28732717;47;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
20260626;06;2026;8623911;1;2;1;50;;2;622.28732717;47;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;2;;;;;;;
20260626;06;2026;8623912;1;1;1;50;;2;665.25552082;47;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
