PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FT;P3044S2;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6420S2;P6424S1;P6424S2;P6424S3;P6424S5;P6430;P6430S1;P3045S1;P3045S2;P3045S3;P3046;P3363;P3363S1;P9440;P6500;P3364;P3364S1;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P3047;P3048;P3049;P6765;P6765S1;P3051;P3052;P3053;P3365;P3365S1;P3054;P3054S1;P3055;P3055S1;P3056;P3057;P6760;P3058S1;P3058S2;P3058S3;P3058S4;P3058S5;P3059;P3061;P3062S1;P3062S2;P3062S3;P3062S4;P3062S5;P3062S6;P3062S7;P3062S8;P3062S9;P3063;P3063S1;P3064;P3064S1;P3065;P3066;P3560;P3561;P3067;P3067S1;P3067S2;P6775;P3068;P3562;P3563;P6750;P3073;P550;P6780;P6780S1;P1879;P1879S1;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3069;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P1880S1;P7040;P7045;P3071S3;P3072S2;P7050;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1881S1;P1882;P7240;P7240S1;OCI;INGLABO;RAMA2D_R4;RAMA4D_R4;OFICIO_C8;P6426
20260626;06;2026;8623841;1;6;1;60;;2;83.437196657;08;1;1513;1;1;;;1;;1;;2;2;2;2;1;;9;9;9;9;1;;2;1200000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;60;;;60;;;4;7;;4;;2;;;;2;2;1;3;4;4;;8;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;5;8;;1;1200000;15;1513;8153;7
20260626;06;2026;8623843;1;2;1;60;;2;67.839306479;08;1;4111;2;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;1;1;6;;;1600000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;;;;;;;;1300000;1;11200000;3;;3;;1;10;50;;;50;;;1;2;;2;;2;;;;2;2;2;;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;11;;30;9;;1;1300000;41;4111;9313;204
20260626;06;2026;8623845;1;1;1;60;;2;83.612948305;08;1;8121;2;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;640000;1;2;;1;360000;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;;;;;;;;640000;1;7680000;3;;1;;2;12;32;2;;32;;;1;2;;2;;2;;;;2;2;1;0;72;4;;3;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;20;3;;1;640000;81;8121;9111;64
20260626;06;2026;8623846;1;1;1;60;;2;257.40293767;08;1;4112;2;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;4;4;4;6;;;1800000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;;;;;;;;1800000;1;16600000;3;;1;;1;12;45;;;45;;;2;9;;7;;2;;;;2;2;1;6;36;1;;1;;2;;;;;;;;2;;;;1;2;1;1;2;2;1;1;1;2;;2;1;2;2;2;2;2;2;11;;20;8;;1;1800000;41;4112;9313;60
20260626;06;2026;8623847;1;1;1;60;;2;507.92371246;08;1;145;1;1;;;1;;1;;2;2;2;2;7;;2;2;2;2;1;;2;1000000;2;;2;;;2;;1;300000;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;60;;;60;;;2;8;;2;;2;;;;2;2;1;0;2;7;;3;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;5;3;;1;1300000;01;0145;6121;1
20260626;06;2026;8623847;1;2;1;60;;2;507.92371246;08;1;9700;1;1;;;1;;1;;2;2;2;2;3;;2;2;2;2;1;;2;300000;2;;2;;;1;200000;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;40;;;40;;;1;2;;2;;2;;;;2;2;2;;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;15;3;;1;500000;97;9700;9111;1
20260626;06;2026;8623848;1;1;1;60;;2;698.96654581;08;1;144;1;1;;;1;;1;;2;2;2;2;7;;2;2;2;2;1;;2;700000;2;;2;;;2;;1;300000;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;60;;;60;;;2;8;;2;;2;;;;2;2;1;0;5;2;;1;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;5;3;;1;1000000;01;0144;9212;3
20260626;06;2026;8623849;1;1;1;60;;2;507.92371246;08;1;9329;1;1;;;1;;1;;2;2;2;2;1;;2;2;2;2;1;;2;700000;2;;2;;;2;;1;300000;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;70;;;70;;;2;8;;2;;2;;;;2;2;1;0;36;1;;1;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;5;3;;1;1000000;93;9329;5414;24
20260626;06;2026;8623850;1;1;1;60;;2;728.40981143;08;1;5519;1;1;;;1;;1;;2;2;2;2;1;;2;2;2;2;1;;2;1500000;2;;2;;;2;;1;400000;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;84;;;84;;;2;1;;2;;2;;;;2;2;1;0;15;4;;8;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;14;;;8;;1;1900000;55;5519;5414;8
20260626;06;2026;8623851;1;1;1;60;;2;445.35869227;08;1;127;1;1;;;1;;1;;2;2;2;2;7;;2;2;2;2;1;;2;1200000;2;;2;;;1;200000;1;350000;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;49;;;49;;;2;8;;2;;2;;;;2;2;1;0;24;4;;3;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;10;5;;1;1750000;01;0127;9211;11
20260626;06;2026;8623852;1;1;1;60;;2;587.05927417;08;1;4789;2;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;0;1;3;1;1;1;6;;;1400000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;;;;;;;;800000;1;6400000;3;;3;;2;12;60;;;60;;;2;6;;2;;1;2;2;15;2;2;1;0;15;1;;9;;2;;;;;;;;2;;;;1;2;1;1;2;2;2;1;1;2;;2;1;2;2;2;2;2;1;14;;;2;;1;800000;47;4789;5211;12
20260626;06;2026;8623852;1;2;1;60;;2;587.05927417;08;1;4759;2;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;42;;;42;;;2;1;;2;;2;;;;2;2;1;0;48;4;;1;;2;;;;;;;;2;;;;1;1;1;2;2;2;2;2;2;2;;2;1;2;2;1;2;2;1;14;;;3;;1;;47;4759;5221;36
20260626;06;2026;8623853;1;1;1;60;;2;478.39849506;08;1;3830;2;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;4;6;;;700000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;;;;;;;;700000;1;8500000;3;;1;;1;12;49;;;49;;;1;6;;2;;2;;;;2;2;1;0;180;4;;2;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;2;1;3;;5;8;;1;700000;38;3830;9611;66
20260626;06;2026;8623854;1;1;1;60;;2;728.40981143;08;1;5590;1;1;;;1;;1;;2;2;2;2;1;;2;2;2;2;1;;2;1300000;2;;2;;;1;350000;1;600000;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;1;1300000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;84;;;84;;;2;1;;2;;2;;;;2;2;1;4;45;4;;1;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;;15;9;;1;2250000;55;5590;5414;12
20260626;06;2026;8623855;1;1;1;60;;2;623.08967375;08;1;4921;2;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;1200000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;;;;;;;;900000;1;900000;3;;1;;1;12;60;;;60;;;1;4;;2;;2;;;;2;2;1;0;12;4;;3;;2;;;;;;;;2;;;;1;1;1;1;2;2;2;2;1;2;;2;1;2;2;2;2;1;1;14;;;3;;1;900000;49;4921;8321;1
